X1	X2	value
127	LRLC4	LRBM1P16	0.141648270787344
128	LRLC5	LRBM1P16	0.140667157223449
129	LRLC6	LRBM1P16	0.138337012509198
130	LRBM1P14	LRBM1P25	0.146431199411332
131	LRBM1P15	LRBM1P25	0.142997301937699
132	LRBM1P16	LRBM1P25	0.133186166298749
133	LRBM1P25	LRBM1P25	NA
134	LRBM1P27	LRBM1P25	0.133799362276183
135	LRBM1P28	LRBM1P25	0.131223939170959
136	LRBM1P3	LRBM1P25	0.139195486877606
137	LRBM1P4	LRBM1P25	0.169487368162865
138	LRBM1P5	LRBM1P25	0.129384351238656
139	LRBM1P6	LRBM1P25	0.138950208486632
140	LRBM2P1	LRBM1P25	0.151459406426294
141	LRBM2P12	LRBM1P25	0.132818248712288
142	LRBM2P13	LRBM1P25	0.13355408388521
143	LRBM2P14	LRBM1P25	0.133676723080697
144	LRBM2P15	LRBM1P25	0.112705420652441
145	LRBM2P2	LRBM1P25	0.233259749816041
146	LRBM2P24	LRBM1P25	0.129384351238656
147	LRBM2P25	LRBM1P25	0.132082413539367
148	LRBM2P26	LRBM1P25	0.132818248712288
149	LRBM2P27_r	LRBM1P25	0.135025754231052
150	LRBM2P3	LRBM1P25	0.13747853814079
151	LRBO10	LRBM1P25	0.182855040470935
152	LRBO11	LRBM1P25	0.183713514839343
153	LRBO12	LRBM1P25	0.182732401275448
154	LRBO13	LRBM1P25	0.15477066470444
155	LRBO2_r	LRBM1P25	0.167279862644101
156	LRBO20	LRBM1P25	0.193156732891832
157	LRBO22	LRBM1P25	0.191071866568555
158	LRBO23	LRBM1P25	0.191930340936963
159	LRBO24	LRBM1P25	0.186411577140054
160	LRBO25	LRBM1P25	0.18616629874908
161	LRBO9	LRBM1P25	0.271523178807947
162	LRLC1	LRBM1P25	0.125582536178563
163	LRLC13	LRBM1P25	0.146308560215845
164	LRLC14	LRBM1P25	0.146185921020358
165	LRLC15	LRBM1P25	0.155383860681874
166	LRLC16	LRBM1P25	0.153053715967623
167	LRLC18	LRBM1P25	0.204684817267599
168	LRLC19	LRBM1P25	0.131223939170959
169	LRLC2	LRBM1P25	0.148638704930096
170	LRLC4	LRBM1P25	0.144959529065489
171	LRLC5	LRBM1P25	0.147044395388766
172	LRLC6	LRBM1P25	0.132327691930341
173	LRBM1P14	LRBM1P27	0.144714250674516
174	LRBM1P15	LRBM1P27	0.135638950208487
175	LRBM1P16	LRBM1P27	0.0753004660289428
176	LRBM1P25	LRBM1P27	0.133799362276183
177	LRBM1P27	LRBM1P27	NA
178	LRBM1P28	LRBM1P27	0.130733382389012
179	LRBM1P3	LRBM1P27	0.138950208486632
180	LRBM1P4	LRBM1P27	0.166298749080206
181	LRBM1P5	LRBM1P27	0.130733382389012
182	LRBM1P6	LRBM1P27	0.142384105960265
183	LRBM2P1	LRBM1P27	0.155506499877361
184	LRBM2P12	LRBM1P27	0.140789796418935
185	LRBM2P13	LRBM1P27	0.140912435614422
186	LRBM2P14	LRBM1P27	0.140667157223449
187	LRBM2P15	LRBM1P27	0.110988471915624
188	LRBM2P2	LRBM1P27	0.22271277900417
189	LRBM2P24	LRBM1P27	0.134780475840078
190	LRBM2P25	LRBM1P27	0.12999754721609
191	LRBM2P26	LRBM1P27	0.12766740250184
192	LRBM2P27_r	LRBM1P27	0.139686043659554
193	LRBM2P3	LRBM1P27	0.137969094922737
194	LRBO10	LRBM1P27	0.18027961736571
195	LRBO11	LRBM1P27	0.182364483688987
196	LRBO12	LRBM1P27	0.182487122884474
197	LRBO13	LRBM1P27	0.154525386313466
198	LRBO2_r	LRBM1P27	0.163478047584008
199	LRBO20	LRBM1P27	0.196713269560952
200	LRBO22	LRBM1P27	0.195486877606083
201	LRBO23	LRBM1P27	0.194996320824135
202	LRBO24	LRBM1P27	0.185307824380672
203	LRBO25	LRBM1P27	0.185185185185185
204	LRBO9	LRBM1P27	0.269193034093696
205	LRLC1	LRBM1P27	0.122516556291391
206	LRLC13	LRBM1P27	0.14532744665195
207	LRLC14	LRBM1P27	0.147534952170714
208	LRLC15	LRBM1P27	0.154402747117979
209	LRLC16	LRBM1P27	0.152072602403728
210	LRLC18	LRBM1P27	0.213146921756193
211	LRLC19	LRBM1P27	0.131223939170959
212	LRLC2	LRBM1P27	0.149497179298504
213	LRLC4	LRBM1P27	0.143733137110621
214	LRLC5	LRBM1P27	0.142506745155752
215	LRLC6	LRBM1P27	0.142752023546726
216	LRBM1P14	LRBM1P28	0.134903115035565
217	LRBM1P15	LRBM1P28	0.128648516065735
218	LRBM1P16	LRBM1P28	0.10878096639686
219	LRBM1P25	LRBM1P28	0.131223939170959
220	LRBM1P27	LRBM1P28	0.130733382389012
221	LRBM1P28	LRBM1P28	NA
222	LRBM1P3	LRBM1P28	0.131469217561933
223	LRBM1P4	LRBM1P28	0.158817758155506
224	LRBM1P5	LRBM1P28	0.132818248712288
225	LRBM1P6	LRBM1P28	0.131837135148393
226	LRBM2P1	LRBM1P28	0.148270787343635
227	LRBM2P12	LRBM1P28	0.134657836644592
228	LRBM2P13	LRBM1P28	0.135148393426539
229	LRBM2P14	LRBM1P28	0.13588422859946
230	LRBM2P15	LRBM1P28	0.107064017660044
231	LRBM2P2	LRBM1P28	0.230929605101791
232	LRBM2P24	LRBM1P28	0.133063527103262
233	LRBM2P25	LRBM1P28	0.123007113073338
234	LRBM2P26	LRBM1P28	0.126441010546971
235	LRBM2P27_r	LRBM1P28	0.130610743193525
236	LRBM2P3	LRBM1P28	0.136252146185921
237	LRBO10	LRBM1P28	0.179298503801815
238	LRBO11	LRBM1P28	0.180770174147658
239	LRBO12	LRBM1P28	0.182855040470935
240	LRBO13	LRBM1P28	0.153544272749571
241	LRBO2_r	LRBM1P28	0.163600686779495
242	LRBO20	LRBM1P28	0.19168506254599
243	LRBO22	LRBM1P28	0.190336031395634
244	LRBO23	LRBM1P28	0.189845474613687
245	LRBO24	LRBM1P28	0.18383615403483
246	LRBO25	LRBM1P28	0.182364483688987
247	LRBO9	LRBM1P28	0.268334559725288
248	LRLC1	LRBM1P28	0.115771400539612
249	LRLC13	LRBM1P28	0.141157714005396
250	LRLC14	LRBM1P28	0.137723816531764
251	LRLC15	LRBM1P28	0.144836889870002
252	LRLC16	LRBM1P28	0.147412312975227
253	LRLC18	LRBM1P28	0.201986754966887
254	LRLC19	LRBM1P28	0.123252391464312
255	LRLC2	LRBM1P28	0.142384105960265
256	LRLC4	LRBM1P28	0.135516311013
257	LRLC5	LRBM1P28	0.136129506990434
258	LRLC6	LRBM1P28	0.135638950208487
259	LRBM1P14	LRBM1P3	0.131714495952907
260	LRBM1P15	LRBM1P3	0.121535442727496
261	LRBM1P16	LRBM1P3	0.134903115035565
262	LRBM1P25	LRBM1P3	0.139195486877606
263	LRBM1P27	LRBM1P3	0.138950208486632
264	LRBM1P28	LRBM1P3	0.131469217561933
265	LRBM1P3	LRBM1P3	NA
266	LRBM1P4	LRBM1P3	0.137233259749816
267	LRBM1P5	LRBM1P3	0.125582536178563
268	LRBM1P6	LRBM1P3	0.140544518027962
269	LRBM2P1	LRBM1P3	0.146553838606819
270	LRBM2P12	LRBM1P3	0.137110620554329
271	LRBM2P13	LRBM1P3	0.137355898945303
272	LRBM2P14	LRBM1P3	0.137969094922737
273	LRBM2P15	LRBM1P3	0.108290409614913
274	LRBM2P2	LRBM1P3	0.229580573951435
275	LRBM2P24	LRBM1P3	0.133308805494236
276	LRBM2P25	LRBM1P3	0.130488103998038
277	LRBM2P26	LRBM1P3	0.12766740250184
278	LRBM2P27_r	LRBM1P3	0.134657836644592
279	LRBM2P3	LRBM1P3	0.135638950208487
280	LRBO10	LRBM1P3	0.169119450576404
281	LRBO11	LRBM1P3	0.168996811380917
282	LRBO12	LRBM1P3	0.169610007358352
283	LRBO13	LRBM1P3	0.143610497915134
284	LRBO2_r	LRBM1P3	0.153789551140545
285	LRBO20	LRBM1P3	0.181873926907039
286	LRBO22	LRBM1P3	0.180770174147658
287	LRBO23	LRBM1P3	0.179911699779249
288	LRBO24	LRBM1P3	0.172798626441011
289	LRBO25	LRBM1P3	0.171081677704194
290	LRBO9	LRBM1P3	0.256929114545009
291	LRLC1	LRBM1P3	0.119450576404219
292	LRLC13	LRBM1P3	0.147657591366201
293	LRLC14	LRBM1P3	0.144346333088055
294	LRLC15	LRBM1P3	0.150846210448859
295	LRLC16	LRBM1P3	0.151459406426294
296	LRLC18	LRBM1P3	0.201005641402992
297	LRLC19	LRBM1P3	0.127176845719892
298	LRLC2	LRBM1P3	0.148638704930096
299	LRLC4	LRBM1P3	0.140912435614422
300	LRLC5	LRBM1P3	0.142874662742212
301	LRLC6	LRBM1P3	0.133676723080697
302	LRBM1P14	LRBM1P4	0.144959529065489
303	LRBM1P15	LRBM1P4	0.13195977434388
304	LRBM1P16	LRBM1P4	0.160412067696836
305	LRBM1P25	LRBM1P4	0.169487368162865
306	LRBM1P27	LRBM1P4	0.166298749080206
307	LRBM1P28	LRBM1P4	0.158817758155506
308	LRBM1P3	LRBM1P4	0.137233259749816
309	LRBM1P4	LRBM1P4	NA
310	LRBM1P5	LRBM1P4	0.162006377238165
311	LRBM1P6	LRBM1P4	0.159798871719402
312	LRBM2P1	LRBM1P4	0.15317635516311
313	LRBM2P12	LRBM1P4	0.164213882756929
314	LRBM2P13	LRBM1P4	0.163968604365955
315	LRBM2P14	LRBM1P4	0.164459161147903
316	LRBM2P15	LRBM1P4	0.132450331125828
317	LRBM2P2	LRBM1P4	0.219401520726024
318	LRBM2P24	LRBM1P4	0.148393426539122
319	LRBM2P25	LRBM1P4	0.155997056659308
320	LRBM2P26	LRBM1P4	0.149129261712043
321	LRBM2P27_r	LRBM1P4	0.156119695854795
322	LRBM2P3	LRBM1P4	0.159308314937454
323	LRBO10	LRBM1P4	0.208731910718666
324	LRBO11	LRBM1P4	0.207873436350258
325	LRBO12	LRBM1P4	0.209467745891587
326	LRBO13	LRBM1P4	0.179175864606328
327	LRBO2_r	LRBM1P4	0.188741721854305
328	LRBO20	LRBM1P4	0.220995830267353
329	LRBO22	LRBM1P4	0.219769438312485
330	LRBO23	LRBM1P4	0.220137355898945
331	LRBO24	LRBM1P4	0.212043168996811
332	LRBO25	LRBM1P4	0.211920529801325
333	LRBO9	LRBM1P4	0.260608290409615
334	LRLC1	LRBM1P4	0.143610497915134
335	LRLC13	LRBM1P4	0.166789305862154
336	LRLC14	LRBM1P4	0.163600686779495
337	LRLC15	LRBM1P4	0.171326956095168
338	LRLC16	LRBM1P4	0.172062791268089
339	LRLC18	LRBM1P4	0.193524650478293
340	LRLC19	LRBM1P4	0.148761344125583
341	LRLC2	LRBM1P4	0.16887417218543
342	LRLC4	LRBM1P4	0.161515820456218
343	LRLC5	LRBM1P4	0.163478047584008
344	LRLC6	LRBM1P4	0.154648025508953
345	LRBM1P14	LRBM1P5	0.131101299975472
346	LRBM1P15	LRBM1P5	0.132572970321315
347	LRBM1P16	LRBM1P5	0.130488103998038
348	LRBM1P25	LRBM1P5	0.129384351238656
349	LRBM1P27	LRBM1P5	0.130733382389012
350	LRBM1P28	LRBM1P5	0.132818248712288
351	LRBM1P3	LRBM1P5	0.125582536178563
352	LRBM1P4	LRBM1P5	0.162006377238165
353	LRBM1P5	LRBM1P5	NA
354	LRBM1P6	LRBM1P5	0.138214373313711
355	LRBM2P1	LRBM1P5	0.147902869757174
356	LRBM2P12	LRBM1P5	0.13159185675742
357	LRBM2P13	LRBM1P5	0.131714495952907
358	LRBM2P14	LRBM1P5	0.132940887907775
359	LRBM2P15	LRBM1P5	0.106082904096149
360	LRBM2P2	LRBM1P5	0.236693647289674
361	LRBM2P24	LRBM1P5	0.135638950208487
362	LRBM2P25	LRBM1P5	0.135148393426539
363	LRBM2P26	LRBM1P5	0.126318371351484
364	LRBM2P27_r	LRBM1P5	0.133431444689723
365	LRBM2P3	LRBM1P5	0.137233259749816
366	LRBO10	LRBM1P5	0.173534461613932
367	LRBO11	LRBM1P5	0.174760853568801
368	LRBO12	LRBM1P5	0.173043904831984
369	LRBO13	LRBM1P5	0.146553838606819
370	LRBO2_r	LRBM1P5	0.157714005396125
371	LRBO20	LRBM1P5	0.182487122884474
372	LRBO22	LRBM1P5	0.181015452538631
373	LRBO23	LRBM1P5	0.179911699779249
374	LRBO24	LRBM1P5	0.177336276674025
375	LRBO25	LRBM1P5	0.177213637478538
376	LRBO9	LRBM1P5	0.262325239146431
377	LRLC1	LRBM1P5	0.114545008584744
378	LRLC13	LRBM1P5	0.147167034584253
379	LRLC14	LRBM1P5	0.141770909982831
380	LRLC15	LRBM1P5	0.150846210448859
381	LRLC16	LRBM1P5	0.147044395388766
382	LRLC18	LRBM1P5	0.198920775079715
383	LRLC19	LRBM1P5	0.129752268825117
384	LRLC2	LRBM1P5	0.148761344125583
385	LRLC4	LRBM1P5	0.139686043659554
386	LRLC5	LRBM1P5	0.139931322050527
387	LRLC6	LRBM1P5	0.137233259749816
388	LRBM1P14	LRBM1P6	0.145450085847437
389	LRBM1P15	LRBM1P6	0.108903605592347
390	LRBM1P16	LRBM1P6	0.141893549178317
391	LRBM1P25	LRBM1P6	0.138950208486632
392	LRBM1P27	LRBM1P6	0.142384105960265
393	LRBM1P28	LRBM1P6	0.131837135148393
394	LRBM1P3	LRBM1P6	0.140544518027962
395	LRBM1P4	LRBM1P6	0.159798871719402
396	LRBM1P5	LRBM1P6	0.138214373313711
397	LRBM1P6	LRBM1P6	NA
398	LRBM2P1	LRBM1P6	0.155874417463821
399	LRBM2P12	LRBM1P6	0.142261466764778
400	LRBM2P13	LRBM1P6	0.142384105960265
401	LRBM2P14	LRBM1P6	0.141525631591857
402	LRBM2P15	LRBM1P6	0.112092224675006
403	LRBM2P2	LRBM1P6	0.242702967868531
404	LRBM2P24	LRBM1P6	0.138950208486632
405	LRBM2P25	LRBM1P6	0.136987981358842
406	LRBM2P26	LRBM1P6	0.133186166298749
407	LRBM2P27_r	LRBM1P6	0.139931322050527
408	LRBM2P3	LRBM1P6	0.136865342163355
409	LRBO10	LRBM1P6	0.177458915869512
410	LRBO11	LRBM1P6	0.176477802305617
411	LRBO12	LRBM1P6	0.178562668628894
412	LRBO13	LRBM1P6	0.151704684817268
413	LRBO2_r	LRBM1P6	0.161270542065244
414	LRBO20	LRBM1P6	0.188619082658818
415	LRBO22	LRBM1P6	0.186534216335541
416	LRBO23	LRBM1P6	0.185430463576159
417	LRBO24	LRBM1P6	0.180647534952171
418	LRBO25	LRBM1P6	0.177336276674025
419	LRBO9	LRBM1P6	0.264778023056169
420	LRLC1	LRBM1P6	0.129384351238656
421	LRLC13	LRBM1P6	0.151704684817268
422	LRLC14	LRBM1P6	0.15710080941869
423	LRLC15	LRBM1P6	0.161883738042678
424	LRLC16	LRBM1P6	0.15121412803532
425	LRLC18	LRBM1P6	0.211062055432916
426	LRLC19	LRBM1P6	0.140176600441501
427	LRLC2	LRBM1P6	0.158327201373559
428	LRLC4	LRBM1P6	0.151704684817268
429	LRLC5	LRBM1P6	0.152440519990189
430	LRLC6	LRBM1P6	0.146431199411332
431	LRBM1P14	LRBM2P1	0.161638459651705
432	LRBM1P15	LRBM2P1	0.14532744665195
433	LRBM1P16	LRBM2P1	0.158327201373559
434	LRBM1P25	LRBM2P1	0.151459406426294
435	LRBM1P27	LRBM2P1	0.155506499877361
436	LRBM1P28	LRBM2P1	0.148270787343635
437	LRBM1P3	LRBM2P1	0.146553838606819
438	LRBM1P4	LRBM2P1	0.15317635516311
439	LRBM1P5	LRBM2P1	0.147902869757174
440	LRBM1P6	LRBM2P1	0.155874417463821
441	LRBM2P1	LRBM2P1	NA
442	LRBM2P12	LRBM2P1	0.153421633554084
443	LRBM2P13	LRBM2P1	0.153544272749571
444	LRBM2P14	LRBM2P1	0.15317635516311
445	LRBM2P15	LRBM2P1	0.129506990434143
446	LRBM2P2	LRBM2P1	0.211675251410351
447	LRBM2P24	LRBM2P1	0.146799116997792
448	LRBM2P25	LRBM2P1	0.152440519990189
449	LRBM2P26	LRBM2P1	0.150478292862399
450	LRBM2P27_r	LRBM2P1	0.158327201373559
451	LRBM2P3	LRBM2P1	0.149742457689478
452	LRBO10	LRBM2P1	0.195486877606083
453	LRBO11	LRBM2P1	0.195241599215109
454	LRBO12	LRBM2P1	0.195241599215109
455	LRBO13	LRBM2P1	0.167647780230562
456	LRBO2_r	LRBM2P1	0.179175864606328
457	LRBO20	LRBM2P1	0.209222467500613
458	LRBO22	LRBM2P1	0.207628157959284
459	LRBO23	LRBM2P1	0.206647044395389
460	LRBO24	LRBM2P1	0.19793966151582
461	LRBO25	LRBM2P1	0.197694383124847
462	LRBO9	LRBM2P1	0.251042433161638
463	LRLC1	LRBM2P1	0.135271032622026
464	LRLC13	LRBM2P1	0.157714005396125
465	LRLC14	LRBM2P1	0.158572479764533
466	LRLC15	LRBM2P1	0.170100564140299
467	LRLC16	LRBM2P1	0.166421388275693
468	LRLC18	LRBM2P1	0.19364728967378
469	LRLC19	LRBM2P1	0.143119941133186
470	LRLC2	LRBM2P1	0.165317635516311
471	LRLC4	LRBM2P1	0.156364974245769
472	LRLC5	LRBM2P1	0.157836644591611
473	LRLC6	LRBM2P1	0.156119695854795
474	LRBM1P14	LRBM2P12	0.141035074809909
475	LRBM1P15	LRBM2P12	0.137723816531764
476	LRBM1P16	LRBM2P12	0.142138827569291
477	LRBM1P25	LRBM2P12	0.132818248712288
478	LRBM1P27	LRBM2P12	0.140789796418935
479	LRBM1P28	LRBM2P12	0.134657836644592
480	LRBM1P3	LRBM2P12	0.137110620554329
481	LRBM1P4	LRBM2P12	0.164213882756929
482	LRBM1P5	LRBM2P12	0.13159185675742
483	LRBM1P6	LRBM2P12	0.142261466764778
484	LRBM2P1	LRBM2P12	0.153421633554084
485	LRBM2P12	LRBM2P12	NA
486	LRBM2P13	LRBM2P12	0.00147167034584253
487	LRBM2P14	LRBM2P12	0.00183958793230316
488	LRBM2P15	LRBM2P12	0.111233750306598
489	LRBM2P2	LRBM2P12	0.232769193034094
490	LRBM2P24	LRBM2P12	0.135271032622026
491	LRBM2P25	LRBM2P12	0.119573215599706
492	LRBM2P26	LRBM2P12	0.134657836644592
493	LRBM2P27_r	LRBM2P12	0.136865342163355
494	LRBM2P3	LRBM2P12	0.129139072847682
495	LRBO10	LRBM2P12	0.17439293598234
496	LRBO11	LRBM2P12	0.175619327937209
497	LRBO12	LRBM2P12	0.174025018395879
498	LRBO13	LRBM2P12	0.146553838606819
499	LRBO2_r	LRBM2P12	0.158081922982585
500	LRBO20	LRBM2P12	0.185921020358106
501	LRBO22	LRBM2P12	0.185062545989698
502	LRBO23	LRBM2P12	0.183590875643856
503	LRBO24	LRBM2P12	0.177581555064999
504	LRBO25	LRBM2P12	0.176109884719156
505	LRBO9	LRBM2P12	0.262570517537405
506	LRLC1	LRBM2P12	0.117856266862889
507	LRLC13	LRBM2P12	0.146676477802306
508	LRLC14	LRBM2P12	0.145695364238411
509	LRLC15	LRBM2P12	0.150968849644346
510	LRLC16	LRBM2P12	0.149129261712043
511	LRLC18	LRBM2P12	0.207014961981849
512	LRLC19	LRBM2P12	0.13195977434388
513	LRLC2	LRBM2P12	0.149497179298504
514	LRLC4	LRBM2P12	0.14140299239637
515	LRLC5	LRBM2P12	0.13980868285504
516	LRLC6	LRBM2P12	0.137723816531764
517	LRBM1P14	LRBM2P13	0.141035074809909
518	LRBM1P15	LRBM2P13	0.138582290900172
519	LRBM1P16	LRBM2P13	0.142874662742212
520	LRBM1P25	LRBM2P13	0.13355408388521
521	LRBM1P27	LRBM2P13	0.140912435614422
522	LRBM1P28	LRBM2P13	0.135148393426539
523	LRBM1P3	LRBM2P13	0.137355898945303
524	LRBM1P4	LRBM2P13	0.163968604365955
